,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossing
362,OCEANUSDT,DOTUSDT,0.03,-3.52,-3.37,0.02,48
837,CTCUSDT,ZILUSDT,0.0,-4.58,-3.37,9.49,47
493,ZRXUSDT,CREAMUSDT,0.01,-3.88,-3.37,0.02,45
345,BANDUSDT,GRTUSDT,0.03,-3.55,-3.37,13.88,45
28,EOSUSDT,SKLUSDT,0.01,-3.79,-3.37,20.79,44
514,GLMRUSDT,RNDRUSDT,0.01,-3.84,-3.37,1.32,44
274,GTCUSDT,LTCUSDT,0.0,-11.11,-3.37,0.05,42
332,JSTUSDT,KSMUSDT,0.0,-4.4,-3.37,0.0,41
813,CTCUSDT,DOTUSDT,0.05,-3.37,-3.37,0.05,41
286,RSRUSDT,ADAUSDT,0.01,-3.83,-3.37,0.02,41
424,KDAUSDT,CKBUSDT,0.04,-3.39,-3.37,430.89,41
466,HOTUSDT,ALGOUSDT,0.0,-5.01,-3.37,0.01,41
394,OCEANUSDT,CREAMUSDT,0.01,-4.08,-3.37,0.01,41
475,ALPHAUSDT,FTMUSDT,0.01,-3.97,-3.37,0.44,40
907,BELUSDT,ALGOUSDT,0.02,-3.67,-3.37,2.73,40
333,JSTUSDT,GRTUSDT,0.04,-3.41,-3.37,0.3,39
858,ONTUSDT,SCUSDT,0.04,-3.46,-3.37,62.18,39
571,1000XECUSDT,IMXUSDT,0.01,-4.09,-3.37,0.04,39
859,ONTUSDT,CREAMUSDT,0.0,-5.29,-3.37,0.01,38
258,OMGUSDT,BCHUSDT,0.0,-4.82,-3.37,0.02,38
482,ALPHAUSDT,CREAMUSDT,0.03,-3.57,-3.37,0.01,38
581,BALUSDT,EGLDUSDT,0.01,-4.08,-3.37,0.09,38
351,BANDUSDT,C98USDT,0.01,-3.94,-3.37,2.74,38
327,RAYUSDT,DODOUSDT,0.0,-5.74,-3.37,5.52,37
279,RNDRUSDT,BCHUSDT,0.01,-3.83,-3.37,0.0,37
48,XRPUSDT,CKBUSDT,0.0,-4.57,-3.37,92.13,37
74,XTZUSDT,SFPUSDT,0.03,-3.53,-3.37,4.35,37
522,GLMRUSDT,WAVESUSDT,0.0,-4.51,-3.37,0.13,36
584,BALUSDT,CELOUSDT,0.04,-3.42,-3.37,5.35,36
496,GLMRUSDT,BCHUSDT,0.02,-3.73,-3.37,0.01,36
849,LUNA2USDT,XRPUSDT,0.0,-4.84,-3.37,6.65,35
480,ALPHAUSDT,SKLUSDT,0.02,-3.71,-3.37,2.48,35
850,LUNA2USDT,BCHUSDT,0.01,-4.04,-3.37,0.02,35
87,LINKUSDT,DOGEUSDT,0.02,-3.65,-3.37,92.69,35
