,DOGEUSDT,GSTUSDT,spread,zscore
0,0.0878,3.009,-0.002469999999999986,
1,0.0884,3.031,-0.0025299999999999906,
2,0.0882,2.987,-0.0014099999999999946,
3,0.0871,2.955,-0.0015499999999999958,
4,0.0883,2.958,-0.00043999999999999595,
5,0.0891,2.977,-0.00020999999999998797,
6,0.0899,3.019,-0.0006700000000000039,
7,0.0896,3.058,-0.002139999999999989,
8,0.0888,2.97,-0.0002999999999999947,
9,0.0887,2.972,-0.0004599999999999882,
10,0.0888,2.997,-0.001109999999999986,
11,0.0897,2.967,0.0006899999999999962,
12,0.0895,3.013,-0.0008900000000000019,
13,0.0902,3.047,-0.0012100000000000027,
14,0.0909,2.98,0.0015000000000000013,
15,0.0917,3.011,0.00137000000000001,
16,0.0918,3.045,0.00045000000000000595,
17,0.0917,3.147,-0.00270999999999999,
18,0.0932,3.202,-0.0028599999999999876,
19,0.0914,3.185,-0.004150000000000001,
20,0.0905,3.121,-0.003129999999999994,0.0023985638444135628
21,0.0903,3.094,-0.0025199999999999806,0.0019322438680438206
22,0.0902,3.124,-0.0035199999999999954,0.0027025868273692294
23,0.0898,3.135,-0.00424999999999999,0.003341136162130677
24,0.0896,3.183,-0.0058899999999999925,0.0046158916404430775
25,0.0871,3.076,-0.005180000000000004,0.004356580086041406
26,0.0873,3.05,-0.004199999999999995,0.0038530012562532513
27,0.088,3.032,-0.0029600000000000043,0.00288096326548756
28,0.0867,3.017,-0.003809999999999994,0.003790658110056118
29,0.0884,3.015,-0.0020499999999999963,0.0021602145126066933
30,0.0878,3.032,-0.003159999999999996,0.0035743757399182537
31,0.0876,3.026,-0.0031799999999999884,0.003771016109750773
32,0.0866,2.995,-0.003250000000000003,0.0044132909258296
33,0.0864,3.107,-0.006809999999999997,0.009478724275755426
34,0.0871,3.069,-0.004970000000000002,0.00731845101992378
35,0.0866,2.997,-0.0033099999999999935,0.006043559309532423
36,0.0876,3.028,-0.0032400000000000068,0.007799889914832314
37,0.0878,3.042,-0.003459999999999991,0.011169929410908542
38,0.0872,3.017,-0.0033099999999999935,0.010951479679408039
